institution_name,state,control,avg_net_price_income_0_to_30000_pub,avg_net_price_income_30001_to_48000_pub,avg_net_price_income_48001_to_75000_pub,avg_net_price_income_75001_to_110000_pub,avg_net_price_income_over_110000_pub,avg_net_price_income_0_to_30000_priv,avg_net_price_income_30001_to_48000_priv,avg_net_price_income_48001_to_75000_priv,avg_net_price_income_75001_to_110000_priv,avg_net_price_income_over_110000_priv
Aaniiih Nakoda College,MT,1,7961,8101,10876,,,,,,,
Abilene Christian University,TX,2,,,,,,23207,22762,24129,26998,29553
Abraham Baldwin Agricultural College,GA,1,6440,7278,9717,11149,11475,,,,,
Abraham Lincoln University,CA,3,,,,,,,,,,
Academy College,MN,3,,,,,,26670,33845,21696,,
Academy for Nursing and Health Occupations,FL,2,,,,,,,,,,
Academy of Art University,CA,3,,,,,,31080,32141,34077,35668,34576
Acupuncture and Massage College,FL,3,,,,,,15276,,,,
Adams State University,CO,1,11446,12552,14558,18288,18960,,,,,
Adelphi University,NY,2,,,,,,25516,24567,30041,31353,31962
Adirondack Community College,NY,1,4655,6453,10490,12040,12767,,,,,
Adrian College,MI,2,,,,,,22267,22861,25282,26084,29994
Advance Science College,FL,3,,,,,,15780,,,,
Advanced College,CA,3,,,,,,22975,,,,
Advanced College-Stockton,,,,,,,,,,,,
Advanced Computing Institute,CA,3,,,,,,13429,,,,
Advanced Technology Institute,VA,3,,,,,,19058,19779,22035,24318,24520
Advanced Training Associates,CA,3,,,,,,13362,16219,17581,19137,
Adventist University of Health Sciences,FL,2,,,,,,17442,16501,19593,21177,20772
Advertising Art Educational Services DBA School of Advertising Art,OH,3,,,,,,27271,27244,31206,32471,33640
Agnes Scott College,GA,2,,,,,,18112,18388,20105,22822,24690
AI Miami International University of Art and Design,FL,3,,,,,,19798,20375,22735,23648,25464
Aiken Technical College,SC,1,2310,1769,3257,3144,,,,,,
Aims Community College,CO,1,5832,6625,7964,12000,11855,,,,,
Alabama A & M University,AL,1,15043,15491,17335,19562,18865,,,,,
Alabama Southern Community College,AL,1,3419,3757,4971,9756,,,,,,
Alabama State University,AL,1,14111,15140,17492,19079,18902,,,,,
Alamance Community College,NC,1,8534,8915,9675,10478,,,,,,
Alaska Bible College,AK,2,,,,,,,10200,,16800,17300
Alaska Career College,AK,3,,,,,,16802,18315,,,
Alaska Christian College,AK,2,,,,,,8835,,12175,,
Alaska Pacific University,AK,2,,,,,,10269,19613,18862,21156,25336
Albany College of Pharmacy and Health Sciences,NY,2,,,,,,23147,22291,28244,30997,31559
Albany State University,GA,1,12561,11749,15201,,,,,,,
Albany Technical College,GA,1,308,1324,3211,6361,7841,,,,,
Albertus Magnus College,CT,2,,,,,,24902,25228,24169,27421,31685
Albion College,MI,2,,,,,,12691,12475,15786,20820,27298
Albright College,PA,2,,,,,,19806,19730,22690,26487,32124
Alcorn State University,MS,1,14344,21014,20265,17851,18237,,,,,
Alderson Broaddus University,WV,2,,,,,,13339,13852,17592,21872,25041
Alexandria Technical & Community College,MN,1,10937,11046,13825,16620,17149,,,,,
Alfred University,NY,2,,,,,,14423,18230,19853,24123,27396
Alice Lloyd College,KY,2,,,,,,10778,11489,13740,14746,
All-State Career School-Allied Health Campus,PA,3,,,,,,24625,25629,28300,,
Allan Hancock College,CA,1,3375,2915,5961,,,,,,,
Allegany College of Maryland,MD,1,10117,9252,12189,14109,14466,,,,,
Allegheny College,PA,2,,,,,,16053,17033,21123,26677,30943
Allegheny Wesleyan College,OH,2,,,,,,4074,3878,6082,,
Allen College,IA,2,,,,,,,,,,
Allen County Community College,KS,1,4638,5438,7118,9285,9446,,,,,
Allen University,SC,2,,,,,,13681,15329,14223,16116,17292
Alliant International University-San Diego,CA,3,,,,,,18090,16340,17519,24744,
Alma College,MI,2,,,,,,15981,17681,19746,21959,25756
Alpena Community College,MI,1,1588,2337,5296,7411,7787,,,,,
Altierus Career College Everett,WA,2,,,,,,19342,19018,22595,25205,26364
Altierus Career College-Arlington,TX,2,,,,,,17608,19725,20600,25908,
Altierus Career College-Chesapeake,VA,2,,,,,,17910,18127,20193,,23712
Altierus Career College-Colorado Springs,CO,2,,,,,,18406,20019,17258,,
Altierus Career College-Fort Worth South,TX,2,,,,,,24058,24115,29965,29965,29965
Altierus Career College-Henderson,NV,2,,,,,,19397,23536,19349,20270,25915
Altierus Career College-Norcross,GA,2,,,,,,15847,15259,19679,,
Altierus Career College-Orange Park,FL,2,,,,,,20666,20798,,,
Altierus Career College-Tacoma,WA,2,,,,,,19811,19865,23836,24705,25480
Altierus Career College-Tampa,FL,2,,,,,,18422,20600,18480,24500,24500
Altierus Career College-Thornton,CO,2,,,,,,16031,18538,17628,23273,
Alvernia University,PA,2,,,,,,22557,22157,23872,25352,28376
Alverno College,WI,2,,,,,,17119,16326,17551,21989,24394
Alvin Community College,TX,1,6302,6876,7773,9245,,,,,,
Amarillo College,TX,1,5514,6173,7445,8567,9791,,,,,
Ambria College of Nursing,IL,3,,,,,,,,,,
America Evangelical University,,,,,,,,,,,,
American Academy McAllister Institute of Funeral Service,NY,2,,,,,,16877,17031,,,
American Academy of Art,IL,2,,,,,,30822,29131,32701,37439,37439
American Academy of Dramatic Arts-Los Angeles,CA,2,,,,,,35728,35572,41893,40487,46043
American Academy of Dramatic Arts-New York,NY,2,,,,,,41329,41843,42917,47367,46260
American Baptist College,TN,2,,,,,,18002,18626,,,
American Business and Technology University,MO,3,,,,,,22672,,,,
American Career College-Anaheim,CA,3,,,,,,23350,24991,25550,21255,
American Career College-Los Angeles,CA,3,,,,,,23010,23492,23920,,
American Career College-Ontario,CA,3,,,,,,30067,29535,31572,32056,33610
American College for Medical Careers,FL,3,,,,,,17924,18934,20175,18809,21834
American College of Healthcare Sciences,OR,3,,,,,,19270,17845,20326,,
American Conservatory Theater,CA,2,,,,,,28677,,,,
American Institute of Alternative Medicine,OH,3,,,,,,24715,23026,,,
American InterContinental University,IL,3,,,,,,12984,12702,13858,15607,16522
American InterContinental University-Atlanta,GA,3,,,,,,18832,18232,22743,22284,
American InterContinental University-Houston,TX,3,,,,,,19746,19912,23014,23874,
American International College,MA,2,,,,,,19170,17856,22220,23378,24163
American Jewish University,CA,2,,,,,,27581,24927,22068,,
American Medical Academy,FL,3,,,,,,,,,,
American Medical Sciences Center,CA,3,,,,,,,,,,
American Musical and Dramatic Academy,NY,2,,,,,,33550,34355,39750,43809,42758
American National University,VA,3,,,,,,18330,18069,,,
American National University-Dayton,OH,3,,,,,,17355,,,,
American National University-Lexington,KY,3,,,,,,18658,20232,,,
American National University-Youngstown,OH,3,,,,,,13901,13309,17955,,19972
American Public University System,WV,3,,,,,,11078,10746,13536,13616,
American River College,CA,1,6522,7139,9733,10071,13611,,,,,
American Trade School,MO,3,,,,,,12929,13083,16541,17239,17239
American University,DC,2,,,,,,22681,22447,26394,31632,46282
American University of Health Sciences,CA,3,,,,,,,,,,18079
AmeriTech College-Draper,UT,3,,,,,,17906,17373,20873,23460,24648
Amherst College,MA,2,,,,,,6228,4764,13268,20290,43142
Amridge University,AL,2,,,,,,10155,,,,
Ancilla College,IN,2,,,,,,14521,17456,16621,19464,22201
Anderson University,IN,2,,,,,,19544,19170,20333,23708,26552
Anderson University,SC,2,,,,,,15788,17289,20168,20659,22115
Andrew College,GA,2,,,,,,18324,18426,18161,18343,19596
Andrews University,MI,2,,,,,,15599,17247,20149,22979,26080
Angeles College,CA,3,,,,,,11071,10943,12415,,
Angelina College,TX,1,8041,7868,8591,6933,8288,,,,,
Angelo State University,TX,1,6951,8523,11876,15139,16111,,,,,
Anna Maria College,MA,2,,,,,,24631,25508,25214,27950,31844
Anne Arundel Community College,MD,1,13474,13720,15949,17914,18091,,,,,
Anoka Technical College,MN,1,11520,11426,13431,16146,16683,,,,,
Anoka-Ramsey Community College,MN,1,9511,9835,12157,14451,14777,,,,,
Antelope Valley College,CA,1,2957,3594,5714,7056,9421,,,,,
Antioch College,OH,2,,,,,,8916,10834,13657,12694,18712
Antonelli College-Cincinnati,OH,3,,,,,,20556,20415,24840,,
Antonelli College-Hattiesburg,MS,3,,,,,,24379,23887,27352,,27464
Antonelli College-Jackson,MS,3,,,,,,23058,,26175,,
Antonelli Institute,PA,3,,,,,,22929,24586,28311,31970,32487
Apex School of Theology,NC,2,,,,,,10531,,,,
Appalachian Bible College,WV,2,,,,,,11929,13894,15415,18175,21675
Appalachian State University,NC,1,6740,9032,13590,17798,18146,,,,,
Aquinas College,MI,2,,,,,,11896,12890,14968,18659,21649
Arapahoe Community College,CO,1,6990,7228,9090,11832,13234,,,,,
Arcadia University,PA,2,,,,,,21108,24522,24950,26842,29059
Argosy University-Atlanta,GA,3,,,,,,17231,17645,,,
Argosy University-Chicago,IL,3,,,,,,16695,18311,,,
Argosy University-Dallas,TX,3,,,,,,19516,,,,
Argosy University-Denver,CO,3,,,,,,,,,,
Argosy University-Hawaii,HI,3,,,,,,16793,17158,14223,,
Argosy University-Inland Empire,CA,3,,,,,,20500,,28374,,
Argosy University-Los Angeles,CA,3,,,,,,21112,23092,26430,26430,
Argosy University-Nashville,TN,3,,,,,,21318,,,,
Argosy University-Northern Virginia,VA,3,,,,,,,,,,
Argosy University-Orange County,CA,3,,,,,,21977,,,,
Argosy University-Phoenix,AZ,3,,,,,,16338,,,,
Argosy University-Phoenix Online Division,AZ,3,,,,,,26387,26136,26317,32047,32047
Argosy University-Salt Lake City,UT,3,,,,,,19605,,,24928,
Argosy University-San Diego,CA,3,,,,,,21534,,,,
Argosy University-San Francisco Bay Area,CA,3,,,,,,,,,,
Argosy University-Sarasota,FL,3,,,,,,,18275,,,
Argosy University-Schaumburg,IL,3,,,,,,,,,,
Argosy University-Tampa,FL,3,,,,,,,,,,
Argosy University-The Art Institute of California-Hollywood,CA,3,,,,,,27564,28170,29816,33440,34598
Argosy University-The Art Institute of California-Inland Empire,CA,3,,,,,,21152,20498,24293,28494,29112
Argosy University-The Art Institute of California-Orange County,CA,3,,,,,,22523,20290,24611,27644,26673
Argosy University-The Art Institute of California-Sacramento,CA,3,,,,,,21801,21214,23718,26781,27531
Argosy University-The Art Institute of California-San Diego,CA,3,,,,,,21964,22509,24866,24931,27868
Argosy University-The Art Institute of California-San Francisco,CA,3,,,,,,21609,21772,22976,24942,23977
Argosy University-Twin Cities,MN,3,,,,,,13870,16530,21412,21412,21412
