Institution_Name,City,State ,2011,2012,2013,2014,2015,2016
Aaniiih Nakoda College,Harlem,MT,,,,,,
Abilene Christian University,Abilene,TX,59.8,59.3,56.6,62.3,61.2,62.5
Abraham Baldwin Agricultural College,Tifton,GA,,,,19.4,32.3,31.7
Abraham Lincoln University,Los Angeles,CA,,,,,,
Academy College,Bloomington,MN,50,100,100,0,100,
Academy for Nursing and Health Occupations,West Palm Beach,FL,,,,,,
Academy of Art University,San Francisco,CA,34.5,32.2,33,32.3,38.9,37.2
Acupuncture and Massage College,Miami,FL,,,,,,
Adams State University,Alamosa,CO,24.8,24.9,26.1,23.9,30.9,28.8
Adelphi University,Garden City,NY,65.5,66,62.5,64,67,68.2
Adirondack Community College,Queensbury,NY,,,,,,
Adrian College,Adrian,MI,49.4,59.1,54.5,56.6,53.5,53
Advance Science College,Hialeah,FL,,,,,,
Advanced College,South Gate,CA,,,,,,
Advanced College-Stockton,,,,,,,,
Advanced Computing Institute,Los Angeles,CA,,,,,,
Advanced Technology Institute,Virginia Beach,VA,,,,,,
Advanced Training Associates,El Cajon,CA,,,,,,
Adventist University of Health Sciences,Orlando,FL,37.5,66.7,33.3,57.1,61.5,53.8
Advertising Art Educational Services DBA School of Advertising Art,Kettering,OH,,,,,,
Agnes Scott College,Decatur,GA,64.6,63.5,72,73.3,67.6,69.8
AI Miami International University of Art and Design,Miami,FL,41.3,44.2,40.5,31.9,33.8,32.7
Aiken Technical College,Graniteville,SC,,,,,,
Aims Community College,Greeley,CO,,,,,,
Alabama A & M University,Normal,AL,31.7,32.2,29.1,35.2,30.8,27.5
Alabama Southern Community College,Monroeville,AL,,,,,,
Alabama State University,Montgomery,AL,26.2,26.3,25.2,26.3,27,21.7
Alamance Community College,Graham,NC,,,,,,
Alaska Bible College,Palmer,AK,50,100,,,,20
Alaska Career College,Anchorage,AK,,,,,,
Alaska Christian College,Soldotna,AK,,,,,,
Alaska Pacific University,Anchorage,AK,46.2,51.8,40,60,57.9,48.5
Albany College of Pharmacy and Health Sciences,Albany,NY,67.7,69.8,72.3,65.8,71.4,48.1
Albany State University,Albany,GA,40.6,38.6,42.5,39.6,31,30.7
Albany Technical College,Albany,GA,,,,,,
Albertus Magnus College,New Haven,CT,51.1,52.6,60.6,49.7,61.1,52.2
Albion College,Albion,MI,68.3,71.7,73.6,71.8,65.4,71
Albright College,Reading,PA,60,52.6,53.7,52.7,57.9,54.2
Alcorn State University,Alcorn State,MS,32.5,31.5,34.2,39.7,33.8,29.8
